3.73	4.27	.08	2.40
4.21	4.93	.55	5.33
3.38	3.60	.98	4.13
3.88	4.33	.14	3.07
4.38	6.60	-.27	5.07
3.46	1.60	2.48	1.93
4.29	3.20	.75	2.60
4.29	6.40	.00	5.00
4.08	4.33	.15	4.47
4.17	4.60	.82	4.13
4.21	6.20	.27	4.07
4.08	3.53	.78	3.07
4.25	3.73	1.60	3.40
4.32	4.20	1.05	2.87
3.17	2.13	1.57	2.53
4.63	5.87	-.79	4.87
4.42	5.07	.20	4.73
3.08	5.13	.39	4.00
3.92	4.40	.86	4.53
4.17	3.47	1.36	2.67
3.71	4.13	1.05	3.47
4.38	6.00	.71	3.53
4.67	5.13	.02	4.07
4.68	4.33	-.04	4.53
4.50	4.13	.93	1.73
4.08	4.53	.63	4.27
3.96	3.00	.40	3.33
4.08	5.20	-.03	4.13
4.13	4.53	.40	5.47
3.13	3.73	.76	3.00
4.13	4.13	.45	3.67
3.96	5.80	.52	3.13
3.79	5.07	.20	4.27
4.42	4.67	-.25	5.00
3.50	4.47	.97	3.27
3.54	4.67	.55	3.57
3.75	3.27	1.09	3.60
4.58	4.40	.19	2.47
4.71	4.47	.05	3.47
3.42	4.60	1.48	2.93
4.38	6.07	.93	4.67
4.46	6.27	.93	5.47
4.00	3.20	1.63	1.13
4.00	4.33	.35	3.87
3.92	3.73	.43	3.67
3.96	5.27	-.15	4.87
3.71	3.87	.46	3.67
4.33	6.40	-.22	5.60
4.17	5.60	-.30	4.93
4.92	4.73	-.78	5.40
3.25	3.93	.58	4.27
3.92	3.87	.86	3.87
4.17	4.40	.61	4.27
4.42	4.60	.00	3.60
4.17	5.07	.25	4.20
4.13	4.93	.54	4.53
4.63	2.20	1.43	3.20
4.42	5.27	-.52	5.13
4.04	3.33	.68	3.93
4.29	4.33	.40	1.87
4.50	5.53	.38	4.53
3.96	1.67	2.00	2.93
4.63	3.73	-.40	4.13
3.63	3.60	1.20	3.87
3.54	4.20	.50	3.47
4.17	5.20	-.25	5.60
4.21	5.27	.54	3.20
4.00	4.07	2.07	2.27
3.25	4.73	.39	4.53
4.29	3.93	.19	4.80
4.29	4.27	.31	2.80
4.00	5.20	.92	5.40
4.58	3.93	.27	2.67
4.08	3.73	.94	3.73
4.08	4.60	1.20	4.00
4.31	4.27	1.45	3.13
3.79	2.47	.62	1.93
3.63	4.20	-.39	4.27
4.21	3.67	.22	3.60
3.96	4.87	.92	3.80
3.96	3.27	1.41	2.00
3.96	4.33	.14	4.27
3.73	3.13	.99	1.47
4.33	5.60	.38	4.67
4.33	4.87	-.23	4.33
4.08	4.20	-.41	4.07
3.92	3.47	.67	2.87
4.04	5.40	.55	4.40
4.54	3.93	.46	3.27
4.63	2.60	1.53	1.33
3.54	3.73	1.35	3.67
3.96	5.67	.02	4.67
3.17	3.67	.54	2.73
3.83	3.27	1.31	1.33
4.08	5.33	.20	4.73
4.13	2.87	1.00	2.00
3.79	3.67	.78	3.47
3.33	4.13	1.55	3.53
4.04	4.53	.02	4.67
4.04	5.00	-.76	5.47
4.04	6.33	-.44	5.33
4.13	4.60	-.19	5.80
3.54	5.47	-.16	4.33
4.04	4.67	.37	4.47
4.50	6.33	-.04	5.27
4.13	4.80	-.19	5.80
3.88	4.87	-.44	4.67
4.29	2.93	.58	2.27
3.21	4.27	1.90	3.47
4.17	3.93	.58	4.53
4.00	6.20	-.48	6.13
4.83	5.53	-.15	5.27
4.25	2.73	1.10	4.07
3.83	3.33	1.02	3.67
3.42	4.80	.60	3.80
4.71	3.93	.46	4.00
3.38	3.47	1.87	2.80
3.79	5.00	-.49	4.87
3.96	4.07	.20	2.87
3.75	6.27	.52	4.40
3.92	5.40	.15	5.33
4.71	4.07	-.14	4.53
3.96	6.07	-.01	5.40
3.83	4.60	.47	5.13
3.88	5.33	.98	3.80
4.08	2.93	1.63	4.20
3.83	3.67	.38	4.53
4.29	4.73	.13	4.60
4.54	4.13	-.25	2.40
4.13	3.67	.54	2.67
4.25	4.67	.50	4.87
3.88	2.07	.86	3.60
3.83	5.53	.35	5.60
4.75	2.93	.86	4.80
4.29	4.40	.26	3.13
4.38	4.33	1.10	3.47
3.63	4.60	.41	4.53
3.33	4.67	1.15	2.53
4.04	5.87	.63	2.80
4.33	4.80	.58	4.93
4.17	5.53	.01	4.40
